"","dhs_id","site_id","site_name","latitude","longitude","rural_urban","country","country_id","continent_id","month_start","year_start","month_end","year_end","lower_age","upper_age","examined","positive","pr","species","method","rdt_type","pcr_type","malaria_metrics_available","location_available","permissions_info","citation1","citation2","citation3"
"2273",NA,1893,"Kipsamoite (sublocation)",0.3229,34.9991,"RURAL","Kenya","KEN","Africa",11,2000,11,2000,0,99,273,8,0.0293,"P. falciparum","Microscopy","",NA,"true","true","","John, C.C., McHugh, M.M., Moormann, A.M., Sumba, P.O. and Ofulla, A.V. (2005).  <b>Low prevalence of <i>Plasmodium falciparum</i> infection among asymptomatic individuals in a highland area of Kenya.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>99</b>(10):780-6","John, CC, . (2009) personal communication.",""
"2274",NA,1893,"Kipsamoite (sublocation)",0.3229,34.9991,"RURAL","Kenya","KEN","Africa",8,2001,8,2001,0,99,152,2,0.0132,"P. falciparum","Microscopy","",NA,"true","true","","John, C.C., McHugh, M.M., Moormann, A.M., Sumba, P.O. and Ofulla, A.V. (2005).  <b>Low prevalence of <i>Plasmodium falciparum</i> infection among asymptomatic individuals in a highland area of Kenya.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>99</b>(10):780-6","John, CC, . (2009) personal communication.",""
"2275",NA,1893,"Kipsamoite (sublocation)",0.3229,34.9991,"RURAL","Kenya","KEN","Africa",5,2002,5,2002,0,99,228,18,0.0789,"P. falciparum","Microscopy","",NA,"true","true","","John, C.C., McHugh, M.M., Moormann, A.M., Sumba, P.O. and Ofulla, A.V. (2005).  <b>Low prevalence of <i>Plasmodium falciparum</i> infection among asymptomatic individuals in a highland area of Kenya.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>99</b>(10):780-6","John, CC, . (2009) personal communication.",""
"2276",NA,13724,"Iguhu",0.167,34.7484,"RURAL","Kenya","KEN","Africa",7,2002,7,2002,1,9,163,90,0.5521,"P. falciparum","Microscopy","",NA,"true","true","","Munyekenye, O.G., Githeko, A.K., Zhou, G., Mushinzimana, E., Minakawa, N. and Yan, G. (2005).  <b><i>Plasmodium falciparum</i> spatial analysis, western Kenya highlands.</b> <i>Emerging Infectious Diseases</i>, <b>11</b>(10):1571-7","",""
"2277",NA,13724,"Iguhu",0.167,34.7484,"RURAL","Kenya","KEN","Africa",6,2003,6,2003,1,9,309,136,0.4401,"P. falciparum","Microscopy","",NA,"true","true","","Munyekenye, O.G., Githeko, A.K., Zhou, G., Mushinzimana, E., Minakawa, N. and Yan, G. (2005).  <b><i>Plasmodium falciparum</i> spatial analysis, western Kenya highlands.</b> <i>Emerging Infectious Diseases</i>, <b>11</b>(10):1571-7","",""
"2278",NA,10158,"Ichuni",-0.7861,34.9455,"UNKNOWN","Kenya","KEN","Africa",6,1988,6,1988,1,10,50,3,0.06,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> UNKNOWN. . .","",""
"2279",NA,10158,"Ichuni",-0.7861,34.9455,"UNKNOWN","Kenya","KEN","Africa",3,1990,3,1990,1,10,50,2.5,0.05,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> UNKNOWN. . .","",""
"2280",NA,10680,"Kegati",-0.7041,34.8116,"UNKNOWN","Kenya","KEN","Africa",6,1988,6,1988,1,10,50,18.5,0.37,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> UNKNOWN. . .","",""
"2281",NA,10680,"Kegati",-0.7041,34.8116,"UNKNOWN","Kenya","KEN","Africa",3,1990,3,1990,1,10,50,6.5,0.13,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> UNKNOWN. . .","",""
"2282",NA,7009,"Ahero (irrigation scheme)",-0.1742,34.9301,"RURAL","Kenya","KEN","Africa",6,1988,6,1988,1,10,50,39,0.78,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> UNKNOWN. . .","",""
"2283",NA,7009,"Ahero (irrigation scheme)",-0.1742,34.9301,"RURAL","Kenya","KEN","Africa",2,1990,2,1990,1,10,50,30.1,0.602,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> UNKNOWN. . .","",""
"2284",NA,19368,"Orwio",-0.42,34.57,"UNKNOWN","Kenya","KEN","Africa",6,1988,6,1988,1,10,50,34,0.68,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> UNKNOWN. . .","",""
"2285",NA,19368,"Orwio",-0.42,34.57,"UNKNOWN","Kenya","KEN","Africa",3,1990,3,1990,1,10,50,40,0.8,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> UNKNOWN. . .","",""
"2286",NA,3005,"Abidha Primary School",-0.0268,34.1873,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,155,26,0.1677,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2287",NA,3005,"Abidha Primary School",-0.0268,34.1873,"UNKNOWN","Kenya","KEN","Africa",3,2006,3,2006,5,14,144,67,0.4653,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2288",NA,8450,"Gunda Sigmre & Uloma Schools",-0.0785,34.2543,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,91,19,0.2088,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2289",NA,8450,"Gunda Sigmre & Uloma Schools",-0.0785,34.2543,"UNKNOWN","Kenya","KEN","Africa",3,2006,3,2006,5,14,91,17,0.1868,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2290",NA,9227,"Kasau Primary School",-0.0115,34.1164,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,64,16,0.25,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2291",NA,9227,"Kasau Primary School",-0.0115,34.1164,"UNKNOWN","Kenya","KEN","Africa",3,2006,3,2006,5,14,64,22,0.3438,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2292",NA,14163,"Matangwe School",-0.1497,34.2929,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,198,75,0.3788,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2293",NA,14163,"Matangwe School",-0.1497,34.2929,"UNKNOWN","Kenya","KEN","Africa",3,2006,3,2006,5,14,191,94,0.4921,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2294",NA,15498,"Mawere School",-0.0343,34.3428,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,143,36,0.2517,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2295",NA,15498,"Mawere School",-0.0343,34.3428,"UNKNOWN","Kenya","KEN","Africa",3,2006,3,2006,5,14,139,56,0.4029,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2296",NA,8299,"Milenga School",-0.0548,34.2406,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,131,36,0.2748,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2297",NA,8299,"Milenga School",-0.0548,34.2406,"UNKNOWN","Kenya","KEN","Africa",3,2006,3,2006,5,14,128,35,0.2734,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2298",NA,12366,"Nyawita School",-0.0612,34.2792,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,205,46,0.2244,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2299",NA,12366,"Nyawita School",-0.0612,34.2792,"UNKNOWN","Kenya","KEN","Africa",3,2006,3,2006,5,14,195,18,0.0923,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2300",NA,21630,"Odhuro School",-0.0035,34.1318,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,132,25,0.1894,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2301",NA,21630,"Odhuro School",-0.0035,34.1318,"UNKNOWN","Kenya","KEN","Africa",3,2006,3,2006,5,14,123,10,0.0813,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2302",NA,18867,"Othach School",-0.0478,34.2069,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,56,16,0.2857,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2303",NA,18867,"Othach School",-0.0478,34.2069,"UNKNOWN","Kenya","KEN","Africa",3,2006,3,2006,5,14,54,23,0.4259,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2304",NA,7461,"Paplela School",-0.0222,34.1499,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,233,81,0.3476,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2305",NA,7461,"Paplela School",-0.0222,34.1499,"UNKNOWN","Kenya","KEN","Africa",3,2006,3,2006,5,14,221,71,0.3213,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2306",NA,11381,"Siage Primary School",-0.1139,34.3082,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,183,34,0.1858,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2307",NA,11381,"Siage Primary School",-0.1139,34.3082,"UNKNOWN","Kenya","KEN","Africa",3,2006,3,2006,5,14,180,17,0.0944,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"2308",NA,19111,"Got Nyabondo",0.0129,34.8153,"UNKNOWN","Kenya","KEN","Africa",8,1986,8,1986,0,99,249,123,0.494,"P. falciparum","Microscopy","",NA,"true","true","","Deloron, P., Campbell, G.H., Brandling-Bennett, D., Roberts, J.M., Schwartz, I.K., Odera, J.S., Lal, A.A., Osanga, C.O., de la Cruz, V. and McCutchan, T.M. (1989).  <b>Antibodies to <i>Plasmodium falciparum</i> ring-infected erythrocyte surface antigen and <i>P. falciparum</i> and <i>P. malariae</i> circumsporozoite proteins: seasonal prevalence in Kenyan villages.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>41</b>(4):395-9","",""
"2309",NA,19111,"Got Nyabondo",0.0129,34.8153,"UNKNOWN","Kenya","KEN","Africa",2,1987,2,1987,0,99,225,89,0.3956,"P. falciparum","Microscopy","",NA,"true","true","","Deloron, P., Campbell, G.H., Brandling-Bennett, D., Roberts, J.M., Schwartz, I.K., Odera, J.S., Lal, A.A., Osanga, C.O., de la Cruz, V. and McCutchan, T.M. (1989).  <b>Antibodies to <i>Plasmodium falciparum</i> ring-infected erythrocyte surface antigen and <i>P. falciparum</i> and <i>P. malariae</i> circumsporozoite proteins: seasonal prevalence in Kenyan villages.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>41</b>(4):395-9","",""
"2310",NA,5579,"Asembo Bay",-0.182,34.383,"UNKNOWN","Kenya","KEN","Africa",8,1986,8,1986,0,99,222,142,0.6396,"P. falciparum","Microscopy","",NA,"true","true","","Deloron, P., Campbell, G.H., Brandling-Bennett, D., Roberts, J.M., Schwartz, I.K., Odera, J.S., Lal, A.A., Osanga, C.O., de la Cruz, V. and McCutchan, T.M. (1989).  <b>Antibodies to <i>Plasmodium falciparum</i> ring-infected erythrocyte surface antigen and <i>P. falciparum</i> and <i>P. malariae</i> circumsporozoite proteins: seasonal prevalence in Kenyan villages.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>41</b>(4):395-9","",""
"2311",NA,5579,"Asembo Bay",-0.182,34.383,"UNKNOWN","Kenya","KEN","Africa",2,1987,2,1987,0,99,245,115,0.4694,"P. falciparum","Microscopy","",NA,"true","true","","Deloron, P., Campbell, G.H., Brandling-Bennett, D., Roberts, J.M., Schwartz, I.K., Odera, J.S., Lal, A.A., Osanga, C.O., de la Cruz, V. and McCutchan, T.M. (1989).  <b>Antibodies to <i>Plasmodium falciparum</i> ring-infected erythrocyte surface antigen and <i>P. falciparum</i> and <i>P. malariae</i> circumsporozoite proteins: seasonal prevalence in Kenyan villages.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>41</b>(4):395-9","",""
"2312",NA,6165,"Nzolia Primary School",-2.5766,38.1513,"UNKNOWN","Kenya","KEN","Africa",9,1987,9,1987,5,14,125,24,0.192,"P. falciparum","Microscopy","",NA,"true","true","","Fulford, A.J., Mbugua, G.G., Ouma, J.H., Kariuki, H.C., Sturrock, R.F. and Butterworth, A.E. (1991).  <b>Differences in the rate of hepatosplenomegaly due to <i>Schistosoma mansoni</i> infection between two areas in Machakos District, Kenya.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>85</b>(4):481-8","",""
"2313",NA,6165,"Nzolia Primary School",-2.5766,38.1513,"UNKNOWN","Kenya","KEN","Africa",1,1988,1,1988,5,14,132,30,0.2273,"P. falciparum","Microscopy","",NA,"true","true","","Fulford, A.J., Mbugua, G.G., Ouma, J.H., Kariuki, H.C., Sturrock, R.F. and Butterworth, A.E. (1991).  <b>Differences in the rate of hepatosplenomegaly due to <i>Schistosoma mansoni</i> infection between two areas in Machakos District, Kenya.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>85</b>(4):481-8","",""
"2316",NA,18794,"Majivuni Primary School",-3.203,40.0886,"RURAL","Kenya","KEN","Africa",6,2005,6,2005,5,12,113,32,0.2832,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2317",NA,18794,"Majivuni Primary School",-3.203,40.0886,"RURAL","Kenya","KEN","Africa",9,2005,9,2005,5,12,93,12,0.129,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2318",NA,22401,"Mkao Moto Primary School",-3.2512,40.0523,"RURAL","Kenya","KEN","Africa",6,2005,6,2005,5,12,100,18,0.18,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2319",NA,22401,"Mkao Moto Primary School",-3.2512,40.0523,"RURAL","Kenya","KEN","Africa",9,2005,9,2005,5,12,91,6,0.0659,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2320",NA,117,"St. Andrews Primary School",-3.2187,40.102,"URBAN","Kenya","KEN","Africa",6,2005,6,2005,5,15,108,7,0.0648,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2321",NA,117,"St. Andrews Primary School",-3.2187,40.102,"URBAN","Kenya","KEN","Africa",9,2005,9,2005,5,15,100,6,0.06,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2322",NA,379,"Sabaki Primary School",-3.1637,40.0829,"RURAL","Kenya","KEN","Africa",6,2005,6,2005,5,15,103,51,0.4951,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2323",NA,379,"Sabaki Primary School",-3.1637,40.0829,"RURAL","Kenya","KEN","Africa",9,2005,9,2005,5,15,82,32,0.3902,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2324",NA,2958,"Sir Ali Primary School",-3.2184,40.1191,"URBAN","Kenya","KEN","Africa",6,2005,6,2005,5,15,105,1,0.0095,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2325",NA,2958,"Sir Ali Primary School",-3.2184,40.1191,"URBAN","Kenya","KEN","Africa",9,2005,9,2005,5,15,86,0,0,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2326",NA,12108,"Kibokoni Primary School",-3.1708,40.1184,"RURAL","Kenya","KEN","Africa",6,2005,6,2005,5,15,99,32,0.3232,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2327",NA,12108,"Kibokoni Primary School",-3.1708,40.1184,"RURAL","Kenya","KEN","Africa",9,2005,9,2005,5,15,89,10,0.1124,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C. (2006). <i>Adaptive integrated malaria vector management at Malindi, Kenya - Final report (May 2005 - April 2006).</i> . Nairobi. International Centre of Insect Physiology and Ecology (ICIPE) . 1-36","",""
"2328",NA,7945,"Wanga Primary School",-0.4596,34.2662,"RURAL","Kenya","KEN","Africa",1,2002,3,2002,2,15,404,160,0.396,"P. falciparum","Microscopy","",NA,"true","true","","Manda, H. and Gouagna, L.C., . (2009) personal communication.","",""
"2329",NA,5686,"Emutete",0.026,34.6358,"UNKNOWN","Kenya","KEN","Africa",4,2004,4,2004,0.5,13,101,55,0.5446,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Fillinger, U., Ndenga, B., Githeko, A. and Lindsay, S.W. (2009).  <b>Integrated malaria vector control with microbial larvicides and insecticide-treated nets in western Kenya: a controlled trial.</b> <i>Bulletin of the World Health Organization</i>, <b>87</b>(9):655-65","Fillinger, U, . (2009) personal communication.",""
"2330",NA,5686,"Emutete",0.026,34.6358,"UNKNOWN","Kenya","KEN","Africa",11,2004,11,2004,0.5,13,88,32,0.3636,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Fillinger, U., Ndenga, B., Githeko, A. and Lindsay, S.W. (2009).  <b>Integrated malaria vector control with microbial larvicides and insecticide-treated nets in western Kenya: a controlled trial.</b> <i>Bulletin of the World Health Organization</i>, <b>87</b>(9):655-65","Fillinger, U, . (2009) personal communication.",""
"2331",NA,5686,"Emutete",0.026,34.6358,"UNKNOWN","Kenya","KEN","Africa",4,2005,4,2005,0.5,13,69,35,0.5072,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Fillinger, U., Ndenga, B., Githeko, A. and Lindsay, S.W. (2009).  <b>Integrated malaria vector control with microbial larvicides and insecticide-treated nets in western Kenya: a controlled trial.</b> <i>Bulletin of the World Health Organization</i>, <b>87</b>(9):655-65","Fillinger, U, . (2009) personal communication.",""
"2332",NA,7945,"Wanga Primary School",-0.4596,34.2662,"RURAL","Kenya","KEN","Africa",11,2003,11,2003,3,14,146,40,0.274,"P. falciparum","Microscopy","",NA,"true","true","","Manda, H. and Gouagna, L.C., . (2009) personal communication.","",""
"2333",NA,5686,"Emutete",0.026,34.6358,"UNKNOWN","Kenya","KEN","Africa",11,2005,11,2005,0.5,13,87,27,0.3103,"P. falciparum","RDT","OptiMal-IT",NA,"true","true","","Fillinger, U., Ndenga, B., Githeko, A. and Lindsay, S.W. (2009).  <b>Integrated malaria vector control with microbial larvicides and insecticide-treated nets in western Kenya: a controlled trial.</b> <i>Bulletin of the World Health Organization</i>, <b>87</b>(9):655-65","Fillinger, U, . (2009) personal communication.",""
